,DateTime
404,3/1/2020 0:00
405,3/1/2020 1:00
406,3/1/2020 1:00
407,3/1/2020 2:00
408,3/1/2020 2:00
409,3/1/2020 3:00
410,3/1/2020 3:00
411,3/1/2020 4:00
412,3/1/2020 4:00
413,3/1/2020 5:00
414,3/1/2020 5:00
415,3/1/2020 6:00
416,3/1/2020 6:00
417,3/1/2020 7:00
418,3/1/2020 7:00
419,3/1/2020 8:00
420,3/1/2020 8:00
421,3/1/2020 9:00
422,3/1/2020 9:00
423,3/1/2020 10:00
424,3/1/2020 10:00
425,3/1/2020 11:00
426,3/1/2020 11:00
427,3/1/2020 12:00
428,3/1/2020 12:00
429,3/1/2020 13:00
430,3/1/2020 13:00
431,3/1/2020 14:00
432,3/1/2020 14:00
433,3/1/2020 15:00
434,3/1/2020 15:00
435,3/1/2020 16:00
436,3/1/2020 16:00
437,3/1/2020 17:00
438,3/1/2020 17:00
439,3/1/2020 18:00
440,3/1/2020 18:00
441,3/1/2020 19:00
442,3/1/2020 19:00
443,3/1/2020 20:00
444,3/1/2020 20:00
445,3/1/2020 21:00
446,3/1/2020 21:00
447,3/1/2020 22:00
448,3/1/2020 22:00
449,3/1/2020 23:00
450,3/1/2020 23:00
451,3/2/2020 0:00
452,3/2/2020 0:00
453,3/2/2020 1:00
454,3/2/2020 1:00
455,3/2/2020 2:00
456,3/2/2020 2:00
457,3/2/2020 3:00
458,3/2/2020 3:00
459,3/2/2020 4:00
460,3/2/2020 4:00
461,3/2/2020 5:00
462,3/2/2020 5:00
463,3/2/2020 6:00
464,3/2/2020 6:00
465,3/2/2020 7:00
466,3/2/2020 7:00
467,3/2/2020 8:00
468,3/2/2020 8:00
469,3/2/2020 9:00
470,3/2/2020 9:00
471,3/2/2020 10:00
472,3/2/2020 10:00
473,3/2/2020 11:00
474,3/2/2020 11:00
475,3/2/2020 12:00
476,3/2/2020 12:00
477,3/2/2020 13:00
478,3/2/2020 13:00
479,3/2/2020 14:00
480,3/2/2020 14:00
481,3/2/2020 15:00
482,3/2/2020 15:00
483,3/2/2020 16:00
484,3/2/2020 16:00
485,3/2/2020 17:00
486,3/2/2020 17:00
487,3/2/2020 18:00
488,3/2/2020 18:00
489,3/2/2020 19:00
490,3/2/2020 19:00
491,3/2/2020 20:00
492,3/2/2020 20:00
